id,municipality,2012_factor,2012_index,2013_factor,2013_index,2014_factor,2014_index,2015_factor,2015_index,2016_factor,2016_index,2017_factor,2017_index
131,Vétroz,1.15,160%,1.15,160%,1.15,160%,1.15,160%,1.15,160%,1.15,160%
132,Bovernier,1.20,150%,1.20,150%,1.20,150%,1.20,150%,1.20,150%,1.20,150%
133,Charrat,1.20,150%,1.20,150%,1.20,150%,1.20,150%,1.20,150%,1.20,150%
134,Fully,1.30,155%,1.30,155%,1.30,155%,1.30,155%,1.30,155%,1.30,155%
135,Isérables,1.35,135%,1.35,135%,1.35,135%,1.35,135%,1.35,135%,1.35,135%
136,Leytron,1.20,140%,1.20,140%,1.20,140%,1.20,140%,1.20,140%,1.20,140%
137,Martigny-Combe,1.00,160%,1.00,160%,1.00,160%,1.00,160%,1.00,160%,1.00,160%
138,Martigny,1.10,160%,1.10,160%,1.10,160%,1.10,160%,1.10,160%,1.10,160%
139,Riddes,1.25,150%,1.25,150%,1.25,150%,1.25,150%,1.25,150%,1.25,150%
140,Saillon,1.20,140%,1.20,140%,1.20,140%,1.20,140%,1.20,140%,1.20,140%
141,Saxon,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%
142,Trient,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%
143,Bagnes,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%
144,Bourg-St-Pierre,1.20,130%,1.20,130%,1.20,130%,1.20,130%,1.20,130%,1.20,130%
145,Liddes,1.15,140%,1.15,140%,1.25,140%,1.25,140%,1.25,140%,1.25,140%
146,Orsières,1.20,140%,1.20,140%,1.20,140%,1.20,140%,1.20,140%,1.20,140%
147,Sembrancher,1.20,145%,1.20,145%,1.20,145%,1.20,145%,1.20,145%,1.30,145%
148,Vollèges,1.25,150%,1.25,150%,1.25,150%,1.25,150%,1.25,150%,1.25,150%
149,Collonges,1.10,155%,1.10,155%,1.10,155%,1.10,155%,1.10,155%,1.10,155%
150,Dorénaz,1.20,140%,1.20,155%,1.20,155%,1.20,155%,1.20,155%,1.20,155%
151,Evionnaz,1.20,170%,1.20,170%,1.20,170%,1.30,170%,1.30,170%,1.30,170%
152,Finhaut,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%
153,Massongex,1.25,140%,1.25,140%,1.25,140%,1.25,140%,1.25,140%,1.25,150%
154,Mex,1.10,130%,,,,,,,,,,
155,"St-Maurice (Mex, St-Maurice / 1.1.2013)",1.25,160%,1.25,160%,1.25,160%,1.25,160%,1.25,160%,1.25,160%
156,Salvan,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%,1.00,170%
157,Vernayaz,1.20,150%,1.20,150%,1.20,150%,1.20,155%,1.20,155%,1.20,155%
158,Vérossaz,1.30,150%,1.30,150%,1.30,150%,1.30,150%,1.30,150%,1.30,150%
159,Champéry,1.35,135%,1.35,135%,1.35,135%,1.35,135%,1.35,135%,1.35,135%
160,Collombey-Muraz,1.25,165%,1.25,165%,1.25,165%,1.25,165%,1.25,165%,1.25,165%
161,Monthey,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%
162,Port-Valais,1.15,160%,1.15,165%,1.15,165%,1.15,170%,1.15,170%,1.15,170%
163,St-Gingolph,1.35,125%,1.35,125%,1.35,125%,1.35,125%,1.35,125%,1.35,125%
164,Troistorrents,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%,1.20,160%
165,Val d'Illiez,1.30,145%,1.30,145%,1.30,145%,1.30,145%,1.30,145%,1.30,145%
166,Vionnaz,1.10,150%,1.10,150%,1.10,150%,1.10,150%,1.10,150%,1.10,150%
167,Vouvry,1.25,150%,1.25,150%,1.25,150%,1.25,150%,1.25,150%,1.25,150%
